reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,bank,sentiment_score,sentiment
361ac925-5bd6-4455-8efe-95394a4ba679,Mahamed Abdireshid,https://play-lh.googleusercontent.com/a-/ALV-UjXkGcCFcmy4rGCs1SmPxJDRxaBy47GnKe_iJUlDOP6kux0GO8E,good,5,0,,2025-11-30,,,,CBE,0.4404,POSITIVE
cb37b096-e071-4f0f-a8fd-067b7d71706d,Kamil Tesfaye,https://play-lh.googleusercontent.com/a-/ALV-UjU-ZDkgElqRQxwUbwG0YWO1l7kyZ5v_77ZC-sWMRVJ-oT-iyHS0,CBE ይለያል።,5,0,5.2.1,2025-11-29,,,5.2.1,CBE,0.0,POSITIVE
70f504ff-daed-40d9-9c89-cc49a95ef659,Abde Semed,https://play-lh.googleusercontent.com/a-/ALV-UjXefYm8AgetM3OmvwPgVPkE9cFk_ajranXATzaop4nZH-79nds,it's special for me,5,0,5.2.1,2025-11-29,,,5.2.1,CBE,0.4019,POSITIVE
28f229b5-0026-41b9-a1eb-b76e74736f63,TOMIZ Creativity,https://play-lh.googleusercontent.com/a-/ALV-UjXMaI_Qo6eRt5JXpTz50LSW--cUtEwBpE81kteLv3ilvlZD2a8,Make it user friendly.,2,0,,2025-11-29,,,,CBE,0.4939,POSITIVE
68d8daea-db47-4e23-a692-755173dea983,Tesfaye Abdi,https://play-lh.googleusercontent.com/a-/ALV-UjVzbozidnJvA8xst4gl-vkDYvLrqfHfPeF5aFpVdFmQ_iNmUtNW,maaliif daddafee install gaafata,3,0,5.2.1,2025-11-28,,,5.2.1,CBE,0.0,POSITIVE
ee0dbb0e-4eb0-47b5-9874-c37877493f99,Betelhem Kebede,https://play-lh.googleusercontent.com/a/ACg8ocLPpxAk3X-tjTyQ-9S2c_66KdftBIiadaLATYVMoiTMMICpNw=mo,good app,5,0,,2025-11-28,,,,CBE,0.4404,POSITIVE
5112423d-e618-44ba-ba49-62677cb76cd6,Gurawaa Dooguu,https://play-lh.googleusercontent.com/a-/ALV-UjXt8VdPpPvEDV0nFtuJ934mA0ZWn2nldDfzM8h7gXnII2NzbFTg,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,0,,2025-11-27,,,,CBE,0.5198,POSITIVE
bcb34681-1dd4-4781-b400-4393bb10b1d9,Yohannesb Adugna,https://play-lh.googleusercontent.com/a/ACg8ocItz2qbOFGYLoI5QS4dNzMe6Khzod3m96g5LMtyAhFLwwWdOA=mo,why didn't work this app?,1,0,5.2.1,2025-11-27,,,5.2.1,CBE,0.0,POSITIVE
c69f051a-00f8-4144-8423-b7ebcd328d2d,Mohammed Abrahim,https://play-lh.googleusercontent.com/a-/ALV-UjWvUcqHMGonhu_ZADGTQ3lITogd-R5KeMnbZc-AMzwhGSi1nIqF,The app makes our life easier. Thank you CBE!,5,0,5.2.1,2025-11-27,,,5.2.1,CBE,0.68,POSITIVE
d2995fb9-63c6-4bfc-8d3c-93a0ee9dba8f,Sulxaan Huseen,https://play-lh.googleusercontent.com/a-/ALV-UjUn6OWvdOuEKeCEUTTk3lYdd98VtyUNYKJZoXExKxf-olzF1xk,this app very bad 👎,1,0,,2025-11-27,,,,CBE,-0.5849,NEGATIVE
f8002d06-b5c5-4ed1-9d51-a9a379304cf8,Sayid Ahmad,https://play-lh.googleusercontent.com/a-/ALV-UjXETAzhZ1H5LRd1OSR0u3kkmrjiNz3FOlGp4g3qYb_9HM-ujD86,the most advanced app. but how to stay safe?,5,0,4.4.0,2025-11-27,,,4.4.0,CBE,0.6701,POSITIVE
81000db5-aa51-467e-826c-fc96160e96a8,Hiwot Gebrie,https://play-lh.googleusercontent.com/a/ACg8ocKs64rLYXzM7-VTN8nZiV8DXLFrJPuWdJ_H8TbjMSLNn0q1Mg=mo,Good application,4,0,,2025-11-27,,,,CBE,0.4404,POSITIVE
3d88a334-958c-4717-9f97-c5d46359e054,samson getachew,https://play-lh.googleusercontent.com/a/ACg8ocJDMKv7EiWnAOJx8FpNzKcdS_HMbBEpF7Pxei6v2XIbeknN5Q=mo,It is nice app,5,1,5.2.1,2025-11-26,,,5.2.1,CBE,0.4215,POSITIVE
99d376ea-4824-4af9-a093-27360acc3a5c,Nejbadin Ali,https://play-lh.googleusercontent.com/a-/ALV-UjWk_FZtA8YkJFxaRkJQsS818vYnUYvuXawvLm94a8ERhj2yQyI,best,5,0,5.2.1,2025-11-25,,,5.2.1,CBE,0.6369,POSITIVE
fd178fb7-7026-4d02-98a0-5c86c3bd56f5,Nuredin Adem,https://play-lh.googleusercontent.com/a/ACg8ocKEpiMnnk19AwUzNLbVwiU9o91bjVCzfz9sJ3D0-wfrgfrU-Q=mo,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,0,5.2.1,2025-11-25,,,5.2.1,CBE,-0.8746,NEGATIVE
3a75b79a-002f-4fc2-b6f0-dd8d187e8663,Abdirizakmoalin Shiine,https://play-lh.googleusercontent.com/a-/ALV-UjWwFEUEaNP8ePfY1mJyZFGTxogbfLCTWY9rSF-r4yLpcTDFLE0,thanks blc this app help me to use all time,5,0,5.2.1,2025-11-24,,,5.2.1,CBE,0.6808,POSITIVE
f2f0cff2-6181-4a3a-926f-5b3491ca4cf8,CodeCrafter,https://play-lh.googleusercontent.com/a-/ALV-UjW9-Ph6-k_lDDuaPEecFLPZIqpslS4xLHX_z1ZyA3sKWG04D1Qb,why we can't send money to other people telebirr wallets??,1,0,5.2.1,2025-11-24,,,5.2.1,CBE,0.0,POSITIVE
00b0b11a-7698-4ce2-8d6e-e6166ee2a39b,mame 4242,https://play-lh.googleusercontent.com/a/ACg8ocJEq1Wcg0z2upMfrCOYcZlFIRSa5X22QMOBNvSwlzsWcjNH8w=mo,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,0,,2025-11-23,,,,CBE,0.0,POSITIVE
ad22eeae-dc82-4954-983c-472a262ddc6a,Aschalew Yirga,https://play-lh.googleusercontent.com/a-/ALV-UjXc1A-4GbH1iLU7l0gKjXjSprjKQphMfsui3hO7ihDEjZhIVrch,በጣም ቀላልና ምቹ ነው።,5,0,5.2.1,2025-11-23,,,5.2.1,CBE,0.0,POSITIVE
ad9f4094-ff79-4353-a8b0-d00cfba75ed5,Yidnekachew Yeshitla,https://play-lh.googleusercontent.com/a-/ALV-UjVpduMP9VDoepTNaUUMmnwrqVIbeDrAbTyOnndblDc0YDJQgcg,wow,5,1,5.2.1,2025-11-23,,,5.2.1,CBE,0.5859,POSITIVE
cd144ce6-efeb-41c2-8247-e57a64bb0181,Mifta Wegi,https://play-lh.googleusercontent.com/a-/ALV-UjXnHFiuKyY2WtLY_2SR2DavCmN9TPQ8R9hycHk3aO170bdatKFy,nice,5,0,5.2.1,2025-11-22,,,5.2.1,CBE,0.4215,POSITIVE
